------- 1678425643753 --------
>>> n0
cpu:  [0.0004166666666666208,0.0004166666666666208,0.009603340292275608,0.009603340292275608,0.009603340292275608,0.15983263598326358,0.15983263598326358,0.15983263598326358,0.38627858627858624,0.38627858627858624,0.38627858627858624,0.29840737636211234,0.29840737636211234,0.29840737636211234,0.2465408805031446,0.2465408805031446,0.2465408805031446,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.31695127030404,0.31695127030404,0.31695127030404,0.5386493083807974,0.5386493083807974,0.5386493083807974,0.5386493083807974,0.6461731493099121,0.7603517772077684,0.7603517772077684,0.7603517772077684,0.7603517772077684,0.7603517772077684,0.7519832985386221,0.7519832985386221,0.7519832985386221,0.48786610878661085,0.48786610878661085,0.48786610878661085,0.17189460476787954,0.17189460476787954,0.17189460476787954,0.0008357709987463213,0.0008357709987463213,0.0008357709987463213,0.1933724832214765,0.1933724832214765,0.5033797216699801,0.5033797216699801,0.5033797216699801,0.5033797216699801,0.7099332220367278,0.7099332220367278,0.7099332220367278,0.6844313890054553,0.6844313890054553,0.6844313890054553,0.4851774530271399,0.4851774530271399,0.4851774530271399,0.4080100125156445,0.4080100125156445,0.4080100125156445,0.5996684624948198,0.5996684624948198,0.5996684624948198,0.6247906197654942,0.6247906197654942,0.6247906197654942,0.19907407407407407,0.19907407407407407,0.19907407407407407,0.04833333333333334,0.04833333333333334,0.04833333333333334,0.09507923269391161,0.09507923269391161,0.09507923269391161,0.6229780174201576,0.6229780174201576,0.6229780174201576,0.4867924528301887,0.4867924528301887,0.4867924528301887,0.33850020946795145,0.33850020946795145,0.33850020946795145,0.5551825430130088,0.5551825430130088,0.5551825430130088,0.6864754098360656,0.6864754098360656,0.6864754098360656,0.7723475355054302,0.7723475355054302,0.7723475355054302,0.6903574397339983,0.6903574397339983,0.6903574397339983,0.3510682865521575,0.3510682865521575,0.3510682865521575,0.39319784321858153,0.39319784321858153,0.39319784321858153,0.5440264572137247,0.5440264572137247,0.5440264572137247,0.62375,0.62375,0.62375,0.6141304347826086,0.6141304347826086,0.6141304347826086,0.5978169605373636,0.5978169605373636,0.5978169605373636,0.4798796540052651,0.4798796540052651,0.4798796540052651,0.4798796540052651,0.6194432904029913,0.6194432904029913,0.6194432904029913,0.41387959866220736,0.41387959866220736,0.41387959866220736,0.33678955453149007,0.33678955453149007,0.33678955453149007,0.5081487672377769,0.5081487672377769,0.5081487672377769,0.5595188718374118,0.5595188718374118,0.5595188718374118,0.5987421383647799,0.5987421383647799,0.5987421383647799,0.6230125523012553,0.6230125523012553,0.6230125523012553,0.5408462505236699,0.5408462505236699,0.5408462505236699,0.49295190713101156,0.49295190713101156,0.49295190713101156,0.5165202843998327,0.5165202843998327,0.5165202843998327,0.5835728952772075,0.5835728952772075,0.5835728952772075,0.681894383906119,0.681894383906119,0.681894383906119,0.5961457896941769,0.5961457896941769,0.5961457896941769,0.41966527196652714,0.41966527196652714,0.41966527196652714,0.29055183946488294,0.29055183946488294,0.29055183946488294,0.19574290484140233,0.19574290484140233,0.19574290484140233,0.13160100586756074,0.13160100586756074,0.13160100586756074,0.30330959363217425,0.30330959363217425,0.633308984660336,0.633308984660336,0.633308984660336,0.633308984660336,0.7331060136391816,0.7331060136391816,0.7331060136391816,0.7331060136391816,0.7331060136391816,0.6226572261557684,0.6226572261557684,0.6226572261557684,0.56875,0.56875,0.7031788586748372,0.7031788586748372,0.7031788586748372,0.7031788586748372,0.5144411887819171,0.5144411887819171,0.5144411887819171,0.5611902766135792,0.5611902766135792,0.5611902766135792,0.689194826866917,0.689194826866917,0.689194826866917,0.7685881370091896,0.7685881370091896,0.7685881370091896,0.5310402684563759,0.5310402684563759,0.5310402684563759,0.16798997074801503,0.16798997074801503,0.16798997074801503,0.0004184100418409553,0.0004184100418409553,0.0004184100418409553,0.20369592608147835,0.20369592608147835,0.20369592608147835,0.5097147581645308,0.5097147581645308,0.5097147581645308,0.5474391267842149,0.5474391267842149,0.5474391267842149,0.4449522226838388,0.4449522226838388,0.4449522226838388,0.44090528080469404,0.44090528080469404,0.44090528080469404,0.49583333333333335,0.49583333333333335,0.49583333333333335,0.6821929101401484,0.6821929101401484,0.6821929101401484,0.5448449287510477,0.5448449287510477,0.5448449287510477,0.4629629629629629,0.4629629629629629,0.6362354599929503,0.6362354599929503,0.6362354599929503,0.6362354599929503,0.6362354599929503,0.5548145060441851,0.5548145060441851,0.5548145060441851,0.3957375679063937,0.3957375679063937,0.3957375679063937,0.23028523489932884,0.23028523489932884,0.23028523489932884,0.36371237458193983,0.36371237458193983,0.36371237458193983,0.5342522974101922,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.8027696181284096,0.8027696181284096,0.8027696181284096,0.8042570951585977,0.8042570951585977,0.8042570951585977,0.41736227045075125,0.41736227045075125,0.41736227045075125,0.165060745705907,0.165060745705907,0.165060745705907,0.35045948203842936,0.35045948203842936,0.35045948203842936,0.6133333333333333,0.6133333333333333,0.6133333333333333,0.6181894383906119,0.6181894383906119,0.6181894383906119,0.6131051752921536,0.6131051752921536,0.6131051752921536,0.5596483884470489,0.5596483884470489,0.5596483884470489,0.25313479623824453,0.25313479623824453,0.25313479623824453,0.6226415094339622,0.6226415094339622,0.6226415094339622,0.798329853862213,0.798329853862213,0.798329853862213,0.7756622516556291,0.7756622516556291,0.7756622516556291,0.5843776106934002,0.5843776106934002,0.5843776106934002,0.6314249895528625,0.6314249895528625,0.6314249895528625,0.6979355306048534,0.6979355306048534,0.6979355306048534,0.6979355306048534,0.645039765592298,0.645039765592298,0.645039765592298,0.41422594142259417,0.41422594142259417,0.41422594142259417,0.1157059314954052,0.1157059314954052,0.1157059314954052,0.41729638958858106,0.6273676072671048,0.6273676072671048,0.6273676072671048,0.6273676072671048,0.6273676072671048,0.6727726894254787,0.6727726894254787,0.6727726894254787,0.5369211514392991,0.5369211514392991,0.5369211514392991,0.5093789078782827,0.5093789078782827,0.5093789078782827,0.12160468031759297,0.12160468031759297,0.12160468031759297,0.001253656498119482,0.001253656498119482,0.001253656498119482,0.0008350730688935215,0.0008350730688935215,0.0008350730688935215,0,0,0,0.0016694490818029983,0.0016694490818029983,0.0016694490818029983,0.001255230125522977,0.001255230125522977,0.001255230125522977,0.001253656498119482]
mem:  [0.29484276358921846,0.29484276358921846,0.29526903423670303,0.29526903423670303,0.29526903423670303,0.2962207767653031,0.2962207767653031,0.2962207767653031,0.2959624606816893,0.2959624606816893,0.2959624606816893,0.29577191573788286,0.29577191573788286,0.29577191573788286,0.2959614784912573,0.2959614784912573,0.2959614784912573,0.2959816133951131,0.2959816133951131,0.2959816133951131,0.2959614784912573,0.2959614784912573,0.2959614784912573,0.29769111584199504,0.29769111584199504,0.29769111584199504,0.29769111584199504,0.2983403437175417,0.29922824386806235,0.29922824386806235,0.29922824386806235,0.29922824386806235,0.29922824386806235,0.2978300957881219,0.2978300957881219,0.2978300957881219,0.2963165403324224,0.2963165403324224,0.2963165403324224,0.295385423802894,0.295385423802894,0.295385423802894,0.29534417180475037,0.29534417180475037,0.29534417180475037,0.29626055547779884,0.29626055547779884,0.29850731609098025,0.29850731609098025,0.29850731609098025,0.29850731609098025,0.2981537275354632,0.2981537275354632,0.2981537275354632,0.2974450771387811,0.2974450771387811,0.2974450771387811,0.2972515856236786,0.2972515856236786,0.2972515856236786,0.2965758386064682,0.2965758386064682,0.2965758386064682,0.2983167711471739,0.2983167711471739,0.2983167711471739,0.2975049907551326,0.2975049907551326,0.2975049907551326,0.2961029139134641,0.2961029139134641,0.2961029139134641,0.29568351859900355,0.29568351859900355,0.29568351859900355,0.297450970281373,0.297450970281373,0.297450970281373,0.2978354978354978,0.2978354978354978,0.2978354978354978,0.29690143473467356,0.29690143473467356,0.29690143473467356,0.2974892757082207,0.2974892757082207,0.2974892757082207,0.2986526802749151,0.2986526802749151,0.2986526802749151,0.29928029996095795,0.29928029996095795,0.29928029996095795,0.2989979202117603,0.2989979202117603,0.2989979202117603,0.29800934554196046,0.29800934554196046,0.29800934554196046,0.2967467397416348,0.2967467397416348,0.2967467397416348,0.29774906507748256,0.29774906507748256,0.29774906507748256,0.2989502839758087,0.2989502839758087,0.2989502839758087,0.2986688864170429,0.2986688864170429,0.2986688864170429,0.29813261044117534,0.29813261044117534,0.29813261044117534,0.29830351157634194,0.29830351157634194,0.29830351157634194,0.2984999496627404,0.2984999496627404,0.2984999496627404,0.2984999496627404,0.2981684603919431,0.2981684603919431,0.2981684603919431,0.2974052984262854,0.2974052984262854,0.2974052984262854,0.29776723560047436,0.29776723560047436,0.29776723560047436,0.29793715454520897,0.29793715454520897,0.29793715454520897,0.2974804359943327,0.2974804359943327,0.2974804359943327,0.29895421273753664,0.29895421273753664,0.29895421273753664,0.29853579961350807,0.29853579961350807,0.29853579961350807,0.29795286959212086,0.29795286959212086,0.29795286959212086,0.2981434145359273,0.2981434145359273,0.2981434145359273,0.29806925915831195,0.29806925915831195,0.29806925915831195,0.2986143748480674,0.2986143748480674,0.2986143748480674,0.2990578338281118,0.2990578338281118,0.2990578338281118,0.2992744068183659,0.2992744068183659,0.2992744068183659,0.29730413281179024,0.29730413281179024,0.29730413281179024,0.29730413281179024,0.29730413281179024,0.29730413281179024,0.29676343697897867,0.29676343697897867,0.29676343697897867,0.2968975059729456,0.2968975059729456,0.2968975059729456,0.2983359238605977,0.2983359238605977,0.29996586888248833,0.29996586888248833,0.29996586888248833,0.29996586888248833,0.30001350511843994,0.30001350511843994,0.30001350511843994,0.30001350511843994,0.30001350511843994,0.298417445666453,0.298417445666453,0.298417445666453,0.29866790422661094,0.29866790422661094,0.29981559374639355,0.29981559374639355,0.29981559374639355,0.29981559374639355,0.2974735606613088,0.2974735606613088,0.2974735606613088,0.29909368377887946,0.29909368377887946,0.29909368377887946,0.2998141204607455,0.2998141204607455,0.2998141204607455,0.2986222323715233,0.2986222323715233,0.2986222323715233,0.29798528187637663,0.29798528187637663,0.29798528187637663,0.2964029730904376,0.2964029730904376,0.2964029730904376,0.2963877491387418,0.2963877491387418,0.2963877491387418,0.29736895738030167,0.29736895738030167,0.29736895738030167,0.29873125550947444,0.29873125550947444,0.29873125550947444,0.2983982929530292,0.2983982929530292,0.2983982929530292,0.2979474675447449,0.2979474675447449,0.2979474675447449,0.2978762587384255,0.2978762587384255,0.2978762587384255,0.29856379204081984,0.29856379204081984,0.29856379204081984,0.2990116708778081,0.2990116708778081,0.2990116708778081,0.29733850947691,0.29733850947691,0.29733850947691,0.29916145491868695,0.29916145491868695,0.2992346281058703,0.2992346281058703,0.2992346281058703,0.2992346281058703,0.2992346281058703,0.29860553513417953,0.29860553513417953,0.29860553513417953,0.2971518932948315,0.2971518932948315,0.2971518932948315,0.29759191460836387,0.29759191460836387,0.29759191460836387,0.29718332338865516,0.29718332338865516,0.29718332338865516,0.2988122862201138,0.30012891249419893,0.30012891249419893,0.30012891249419893,0.30012891249419893,0.30012891249419893,0.300237444536934,0.300237444536934,0.300237444536934,0.2989630524514245,0.2989630524514245,0.2989630524514245,0.29707921120286407,0.29707921120286407,0.29707921120286407,0.2965807495586281,0.2965807495586281,0.2965807495586281,0.2989615791657766,0.2989615791657766,0.2989615791657766,0.298535308518292,0.298535308518292,0.298535308518292,0.29850731609098025,0.29850731609098025,0.29850731609098025,0.29848030585410057,0.29848030585410057,0.29848030585410057,0.29815520082111124,0.29815520082111124,0.29815520082111124,0.2979533606873369,0.2979533606873369,0.2979533606873369,0.29975911779655395,0.29975911779655395,0.29975911779655395,0.2996147358030512,0.2996147358030512,0.2996147358030512,0.29959852966092326,0.29959852966092326,0.29959852966092326,0.2983167711471739,0.2983167711471739,0.2983167711471739,0.29973210755967417,0.29973210755967417,0.29973210755967417,0.300485938716228,0.300485938716228,0.300485938716228,0.300485938716228,0.29821413224703075,0.29821413224703075,0.29821413224703075,0.2974033340454214,0.2974033340454214,0.2974033340454214,0.29647811065848506,0.29647811065848506,0.29647811065848506,0.29949883733207616,0.2999914058337201,0.2999914058337201,0.2999914058337201,0.2999914058337201,0.2999914058337201,0.2989414442619207,0.2989414442619207,0.2989414442619207,0.2982485089121504,0.2982485089121504,0.2982485089121504,0.29814832548808723,0.29814832548808723,0.29814832548808723,0.2965949913198921,0.2965949913198921,0.2965949913198921,0.2965949913198921,0.2965949913198921,0.2965949913198921,0.2964569935641972,0.2964569935641972,0.2964569935641972,0.2964569935641972,0.2964569935641972,0.2964569935641972,0.2964569935641972,0.2964569935641972,0.2964569935641972,0.2964569935641972,0.2964569935641972,0.2964569935641972,0.2964569935641972]
avg_cpu_usage:  0.46846009016463247
avg_mem_usage:  0.29795673315194143
>>> n1
cpu:  [0.0016680567139282232,0.09563758389261745,0.09563758389261745,0.09563758389261745,0.542118432026689,0.542118432026689,0.542118432026689,0.5295587010824313,0.5295587010824313,0.5295587010824313,0.098744769874477,0.098744769874477,0.098744769874477,0.3469217970049917,0.3469217970049917,0.3469217970049917,0.2920133111480865,0.2920133111480865,0.2920133111480865,0.5485762144053601,0.5485762144053601,0.5485762144053601,0.6364399664147775,0.6364399664147775,0.6364399664147775,0.2684563758389261,0.2684563758389261,0.2684563758389261,0.4682804674457429,0.4682804674457429,0.4682804674457429,0.6469115191986645,0.6469115191986645,0.6469115191986645,0.20033388981636058,0.20033388981636058,0.20033388981636058,0.6807980049875312,0.6807980049875312,0.6807980049875312,0.8376569037656904,0.8376569037656904,0.8376569037656904,0.8905597326649959,0.8905597326649959,0.8905597326649959,0.4679433805162365,0.4679433805162365,0.4679433805162365,0.19365609348914858,0.19365609348914858,0.19365609348914858,0.3880972338642079,0.3880972338642079,0.3880972338642079,0.37951301427371953,0.37951301427371953,0.37951301427371953,0.734113712374582,0.734113712374582,0.734113712374582,0.7077435470441299,0.7077435470441299,0.7077435470441299,0.6585570469798658,0.6585570469798658,0.6585570469798658,0.49039264828738516,0.49039264828738516,0.49039264828738516,0.7353923205342237,0.7353923205342237,0.7353923205342237,0.4836546521374686,0.4836546521374686,0.4836546521374686,0.6935886761032473,0.6935886761032473,0.6935886761032473,0.8330550918196995,0.8330550918196995,0.8330550918196995,0.7948290241868223,0.7948290241868223,0.7948290241868223,0.40336134453781514,0.40336134453781514,0.40336134453781514,0.490360435875943,0.490360435875943,0.490360435875943,0.28511705685618727,0.28511705685618727,0.28511705685618727,0.5300500834724541,0.5300500834724541,0.5300500834724541,0.8171140939597316,0.8171140939597316,0.8171140939597316,0.8235785953177257,0.8235785953177257,0.8235785953177257,0.6490787269681741,0.6490787269681741,0.6490787269681741,0.5734557595993321,0.5734557595993321,0.5734557595993321,0.5008445945945945,0.5008445945945945,0.5008445945945945,0.12229617304492513,0.12229617304492513,0.12229617304492513,0.5590219224283306,0.5590219224283306,0.5590219224283306,0.8675496688741722,0.8675496688741722,0.8675496688741722,0.9966666666666667,0.9966666666666667,0.9966666666666667,0.9925062447960034,0.9925062447960034,0.9925062447960034,0.8673383711167086,0.8673383711167086,0.8673383711167086,0.3678065054211843,0.3678065054211843,0.3678065054211843,0.24106400665004157,0.24106400665004157,0.24106400665004157,0.6307435254803676,0.6307435254803676,0.6307435254803676,0.9177852348993288,0.9177852348993288,0.9177852348993288,0.20669456066945602,0.20669456066945602,0.20669456066945602,0.6844296419650291,0.6844296419650291,0.6844296419650291,0.26610878661087867,0.26610878661087867,0.26610878661087867,0.19446772841575855,0.19446772841575855,0.19446772841575855,0.7007481296758105,0.7007481296758105,0.7007481296758105,0.6644518272425249,0.6644518272425249,0.6644518272425249,0.2897585345545379,0.2897585345545379,0.2897585345545379,0.26530612244897955,0.26530612244897955,0.26530612244897955,0.44732441471571904,0.44732441471571904,0.44732441471571904,0.6384228187919463,0.6384228187919463,0.6384228187919463,0.7592281879194631,0.7592281879194631,0.7592281879194631,0.22890559732664995,0.22890559732664995,0.22890559732664995,0.37479131886477457,0.37479131886477457,0.37479131886477457,0.42487479131886474,0.42487479131886474,0.42487479131886474,0.9533333333333334,0.9533333333333334,0.9533333333333334,0.9724770642201834,0.9724770642201834,0.9724770642201834,0.9800166527893422,0.9800166527893422,0.9800166527893422,0.7954545454545454,0.7954545454545454,0.7954545454545454,0.5238893545683152,0.5238893545683152,0.5238893545683152,0.7019311502938708,0.7019311502938708,0.7019311502938708,0.5877483443708609,0.5877483443708609,0.5877483443708609,0.6764953664700927,0.6764953664700927,0.6764953664700927,0.8753138075313808,0.8753138075313808,0.8753138075313808,0.9046822742474916,0.9046822742474916,0.9046822742474916,1,1,1,0.9824414715719063,0.9824414715719063,0.9824414715719063,0.7907563025210084,0.7907563025210084,0.7907563025210084,0.43155258764607685,0.43155258764607685,0.43155258764607685,0.6113902847571189,0.6113902847571189,0.6113902847571189,0.6847826086956521,0.6847826086956521,0.6847826086956521,0.4563025210084034,0.4563025210084034,0.4563025210084034,0.4816666666666667,0.4816666666666667,0.4816666666666667,0.5797342192691031,0.5797342192691031,0.5797342192691031,0.3325,0.3325,0.3325,0.3880099916736053,0.3880099916736053,0.3880099916736053,0.2845188284518828,0.2845188284518828,0.2845188284518828,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.3848711554447215,0.3848711554447215,0.3848711554447215,0.5549999999999999,0.5549999999999999,0.5549999999999999,0.8305369127516778,0.8305369127516778,0.8305369127516778,0.6574307304785894,0.6574307304785894,0.6574307304785894,0.7383720930232558,0.7383720930232558,0.7383720930232558,0.45033112582781454,0.45033112582781454,0.45033112582781454,0.40969899665551834,0.40969899665551834,0.40969899665551834,0.5490360435875943,0.5490360435875943,0.5490360435875943,0.43024227234753554,0.43024227234753554,0.43024227234753554,0.6730608840700584,0.6730608840700584,0.6730608840700584,0.4227234753550543,0.4227234753550543,0.4227234753550543,0.7794486215538847,0.7794486215538847,0.7794486215538847,0.63919259882254,0.63919259882254,0.63919259882254,0.7022518765638032,0.7022518765638032,0.7022518765638032,0.6761032472939217,0.6761032472939217,0.6761032472939217,0.6906170752324599,0.6906170752324599,0.6906170752324599,0.7078838174273858,0.7078838174273858,0.7078838174273858,0.8444816053511706,0.8444816053511706,0.8444816053511706,0.5067001675041876,0.5067001675041876,0.5067001675041876,0.9532944120100083,0.9532944120100083,0.9532944120100083,0.27866108786610877,0.27866108786610877,0.27866108786610877,0.7739783152627189,0.7739783152627189,0.7739783152627189,0.3728106755629691,0.3728106755629691,0.3728106755629691,0.5664160401002507,0.5664160401002507,0.5664160401002507,0.8608333333333333,0.8608333333333333,0.8608333333333333,0.47324414715719065,0.47324414715719065,0.47324414715719065,0.5472803347280335,0.5472803347280335,0.5472803347280335,0.8565436241610738,0.8565436241610738,0.8565436241610738,0.93561872909699,0.93561872909699,0.93561872909699,0.9924812030075187,0.9924812030075187,0.9924812030075187,0.5769230769230769,0.5769230769230769,0.5769230769230769,0.006694560669456062,0.006694560669456062,0.006694560669456062,0.01845637583892612,0.01845637583892612,0.01845637583892612,0.0025083612040134318,0.0025083612040134318]
mem:  [0.12309710037145538,0.12598824215047766,0.12598824215047766,0.12598824215047766,0.12443266217571236,0.12443266217571236,0.12443266217571236,0.12455554857863849,0.12455554857863849,0.12455554857863849,0.12464875583035884,0.12464875583035884,0.12464875583035884,0.12770129332420233,0.12770129332420233,0.12770129332420233,0.12752076559455439,0.12752076559455439,0.12752076559455439,0.12450502043691636,0.12450502043691636,0.12450502043691636,0.12835914029555529,0.12835914029555529,0.12835914029555529,0.12445424701295282,0.12445424701295282,0.12445424701295282,0.13179799731955566,0.13179799731955566,0.13179799731955566,0.12362666473057216,0.12362666473057216,0.12362666473057216,0.12403187099331459,0.12403187099331459,0.12403187099331459,0.12382607919280553,0.12382607919280553,0.12382607919280553,0.12874153530985033,0.12874153530985033,0.12874153530985033,0.13316912504881118,0.13316912504881118,0.13316912504881118,0.12473656687276913,0.12473656687276913,0.12473656687276913,0.12473534046156232,0.12473534046156232,0.12473534046156232,0.12725095512904794,0.12725095512904794,0.12725095512904794,0.12469045381139165,0.12469045381139165,0.12469045381139165,0.1346287996672011,0.1346287996672011,0.1346287996672011,0.1274339356811095,0.1274339356811095,0.1274339356811095,0.1249440756489677,0.1249440756489677,0.1249440756489677,0.13378944383723468,0.13378944383723468,0.13378944383723468,0.1253534517098135,0.1253534517098135,0.1253534517098135,0.12744865261559168,0.12744865261559168,0.12744865261559168,0.13108667881958413,0.13108667881958413,0.13108667881958413,0.1307216988444263,0.1307216988444263,0.1307216988444263,0.1282315935300431,0.1282315935300431,0.1282315935300431,0.1259109782444463,0.1259109782444463,0.1259109782444463,0.12988896563497687,0.12988896563497687,0.12988896563497687,0.12845234754727575,0.12845234754727575,0.12845234754727575,0.12554109262446111,0.12554109262446111,0.12554109262446111,0.1301251724334157,0.1301251724334157,0.1301251724334157,0.12827844243814468,0.12827844243814468,0.12827844243814468,0.12900128920346066,0.12900128920346066,0.12900128920346066,0.1271925779556019,0.1271925779556019,0.1271925779556019,0.1272249552114627,0.1272249552114627,0.1272249552114627,0.12559750753997612,0.12559750753997612,0.12559750753997612,0.13056398236322575,0.13056398236322575,0.13056398236322575,0.13065277453460145,0.13065277453460145,0.13065277453460145,0.14221366241707012,0.14221366241707012,0.14221366241707012,0.1443392783207782,0.1443392783207782,0.1443392783207782,0.12580378990496788,0.12580378990496788,0.12580378990496788,0.1257581674080731,0.1257581674080731,0.1257581674080731,0.12975773963584414,0.12975773963584414,0.12975773963584414,0.13417968788325352,0.13417968788325352,0.13417968788325352,0.1265386555001109,0.1265386555001109,0.1265386555001109,0.12921934511603816,0.12921934511603816,0.12921934511603816,0.12775967049764825,0.12775967049764825,0.12775967049764825,0.12583935582996642,0.12583935582996642,0.12583935582996642,0.12585628030462093,0.12585628030462093,0.12585628030462093,0.12860613951261435,0.12860613951261435,0.12860613951261435,0.12592888384806633,0.12592888384806633,0.12592888384806633,0.12591244993789452,0.12591244993789452,0.12591244993789452,0.13181933687455483,0.13181933687455483,0.13181933687455483,0.12625388281788086,0.12625388281788086,0.12625388281788086,0.1291418359277654,0.1291418359277654,0.1291418359277654,0.1259742610627197,0.1259742610627197,0.1259742610627197,0.12901428916225322,0.12901428916225322,0.12901428916225322,0.1288104596196752,0.1288104596196752,0.1288104596196752,0.1335426899024169,0.1335426899024169,0.1335426899024169,0.12938957099154857,0.12938957099154857,0.12938957099154857,0.13202194000592604,0.13202194000592604,0.13202194000592604,0.13310903089967563,0.13310903089967563,0.13310903089967563,0.12865176200950912,0.12865176200950912,0.12865176200950912,0.13011241775686444,0.13011241775686444,0.13011241775686444,0.12933266551155087,0.12933266551155087,0.12933266551155087,0.13194124214851544,0.13194124214851544,0.13194124214851544,0.1275708031717937,0.1275708031717937,0.1275708031717937,0.12752395426369212,0.12752395426369212,0.12752395426369212,0.1443248066685373,0.1443248066685373,0.1443248066685373,0.1439693927007929,0.1439693927007929,0.1439693927007929,0.1403831210497295,0.1403831210497295,0.1403831210497295,0.12720631376111868,0.12720631376111868,0.12720631376111868,0.13355961437707142,0.13355961437707142,0.13355961437707142,0.13132754598060892,0.13132754598060892,0.13132754598060892,0.13047028454702259,0.13047028454702259,0.13047028454702259,0.12830615933141942,0.12830615933141942,0.12830615933141942,0.1286667242262326,0.1286667242262326,0.1286667242262326,0.12974768306394802,0.12974768306394802,0.12974768306394802,0.13109379200458382,0.13109379200458382,0.13109379200458382,0.13070379324080628,0.13070379324080628,0.13070379324080628,0.1268935789033725,0.1268935789033725,0.1268935789033725,0.12729240782783935,0.12729240782783935,0.12729240782783935,0.13061990671425794,0.13061990671425794,0.13061990671425794,0.13052939756719262,0.13052939756719262,0.13052939756719262,0.1318409217117953,0.1318409217117953,0.1318409217117953,0.1290687418198373,0.1290687418198373,0.1290687418198373,0.1315519792314621,0.1315519792314621,0.1315519792314621,0.12708882356750262,0.12708882356750262,0.12708882356750262,0.13021641742720513,0.13021641742720513,0.13021641742720513,0.13023481359530786,0.13023481359530786,0.13023481359530786,0.13294371066899258,0.13294371066899258,0.13294371066899258,0.12869444111950734,0.12869444111950734,0.12869444111950734,0.13030447375185683,0.13030447375185683,0.13030447375185683,0.12816512204263197,0.12816512204263197,0.12816512204263197,0.12872019575485116,0.12872019575485116,0.12872019575485116,0.12737212455628444,0.12737212455628444,0.12737212455628444,0.13598668215542264,0.13598668215542264,0.13598668215542264,0.128425366500725,0.128425366500725,0.128425366500725,0.1304320205173689,0.1304320205173689,0.1304320205173689,0.13172318623593793,0.13172318623593793,0.13172318623593793,0.1308028872663196,0.1308028872663196,0.1308028872663196,0.13132092336009205,0.13132092336009205,0.13132092336009205,0.12731644548749355,0.12731644548749355,0.12731644548749355,0.1341311219994623,0.1341311219994623,0.1341311219994623,0.12741480366628277,0.12741480366628277,0.12741480366628277,0.13341097333880148,0.13341097333880148,0.13341097333880148,0.13565653225853924,0.13565653225853924,0.13565653225853924,0.13103320729096557,0.13103320729096557,0.13103320729096557,0.12943445764171913,0.12943445764171913,0.12943445764171913,0.13145607387508662,0.13145607387508662,0.13145607387508662,0.1362165116155858,0.1362165116155858,0.1362165116155858,0.14893881091093897,0.14893881091093897,0.14893881091093897,0.12765346328713523,0.12765346328713523,0.12765346328713523,0.12766916135058293,0.12766916135058293,0.12766916135058293,0.12765763308523848,0.12765763308523848,0.12765763308523848,0.12766131231885902,0.12766131231885902]
avg_cpu_usage:  0.5742324602432685
avg_mem_usage:  0.12963457954228136
